Matrix A: 
42	68	35	1	70	25	79	59	63	65	6	46	82	28	62	92	96	43	28	37	92	5	3	54	93	83	22	17	19	96	48	27	72	39	70	13	68	100	36	95	4	12	23	34	74	65	42	12	54	69	48	45	63	58	38	60	24	42	30	79	17	36	91	43	89	7	41	43	65	49	47	6	91	30	71	51	7	2	94	49	30	24	85	55	57	41	67	77	32	9	45	40	27	24	38	39	19	83	30	42	
34	16	40	59	5	31	78	7	74	87	22	46	25	73	71	30	78	74	98	13	87	91	62	37	56	68	56	75	32	53	51	51	42	25	67	31	8	92	8	38	58	88	54	84	46	10	10	59	22	89	23	47	7	31	14	69	1	92	63	56	11	60	25	38	49	84	96	42	3	51	92	37	75	21	97	22	49	100	69	85	82	35	54	100	19	39	1	89	28	68	29	94	49	84	8	22	11	18	14	15	
10	17	36	52	1	50	20	57	99	4	25	9	45	10	90	3	96	86	94	44	24	88	15	4	49	1	59	19	81	97	99	82	90	99	10	58	73	23	39	93	39	80	91	58	59	92	16	89	57	12	3	35	73	56	29	47	63	87	76	34	70	43	45	17	82	99	23	52	22	100	58	77	93	90	76	13	1	11	4	70	62	89	2	90	56	24	3	86	83	86	89	27	18	58	33	33	70	55	22	90	
77	30	69	93	26	56	35	50	42	13	46	61	19	54	40	24	80	97	88	30	50	38	67	50	94	96	98	17	87	6	89	83	56	35	15	2	17	72	87	64	14	56	86	54	13	9	33	46	14	57	22	59	47	83	82	45	97	23	30	62	36	51	74	67	45	60	93	40	54	25	55	11	46	50	87	14	75	23	69	19	88	6	59	92	3	26	78	15	15	25	35	75	73	60	34	71	88	98	19	78	
74	71	64	69	93	86	3	81	14	28	3	100	28	26	44	25	24	73	62	82	4	33	6	94	26	32	93	43	23	87	65	1	88	61	14	75	71	71	36	34	12	61	97	68	86	51	41	95	96	25	20	26	77	95	59	3	72	67	79	94	52	85	19	65	20	53	1	88	61	27	11	58	71	16	77	28	44	59	65	10	83	87	66	88	78	75	26	28	30	29	24	21	3	63	24	97	38	62	96	26	
65	61	3	17	31	27	12	72	12	48	54	21	91	25	89	64	41	52	63	30	1	14	59	79	66	8	78	1	59	40	4	61	58	25	78	9	14	88	2	51	61	29	94	85	6	41	12	5	36	57	73	51	24	86	57	17	27	58	27	58	38	72	70	62	97	23	18	13	18	97	86	42	24	30	30	66	60	33	97	56	54	63	85	35	55	73	58	70	33	64	8	84	12	36	68	49	76	39	24	43	
55	12	42	76	60	26	22	71	27	35	6	84	51	99	80	2	94	35	38	35	57	94	77	6	63	49	82	1	14	42	56	56	43	63	12	78	25	79	53	44	97	74	41	14	76	73	19	11	18	33	13	96	70	32	41	89	86	91	98	90	91	46	54	15	52	41	45	59	36	60	93	6	65	82	4	30	76	9	93	98	50	57	62	28	68	42	30	41	14	75	2	78	16	84	14	93	25	2	93	60	
71	29	28	85	76	87	99	71	88	48	5	4	22	64	7	64	11	72	90	41	65	43	20	14	92	5	19	33	51	6	76	40	4	23	99	48	85	49	72	65	14	76	46	13	47	79	70	63	20	86	90	45	66	41	46	9	19	71	2	24	33	73	53	88	71	64	2	4	24	28	1	70	16	66	29	44	48	89	44	38	10	64	50	82	89	43	9	61	22	59	55	89	47	91	50	44	31	21	49	68	
37	84	36	27	86	39	54	30	25	49	24	60	58	67	45	56	19	27	12	26	56	2	50	97	85	16	65	43	76	14	43	97	49	73	27	7	74	30	5	6	27	13	76	94	66	37	37	42	15	95	57	53	37	39	83	56	16	32	31	42	26	12	38	87	91	51	63	35	94	54	17	53	9	63	34	55	4	35	4	57	49	25	18	14	10	29	1	81	19	59	51	56	62	65	4	77	44	10	3	62	
90	49	83	54	75	21	3	24	32	70	79	60	9	20	72	4	46	82	5	93	86	14	99	90	23	39	38	11	62	35	9	62	60	94	16	70	38	70	59	1	72	65	18	16	56	16	31	40	13	89	83	55	86	11	85	75	81	16	52	42	16	80	11	99	74	89	78	33	57	90	14	9	42	91	24	64	29	85	79	1	72	86	75	72	34	68	54	96	69	26	77	30	51	99	10	94	87	81	17	50	
68	29	80	65	22	6	27	17	17	27	67	88	82	65	41	87	22	63	22	65	10	16	3	74	25	42	46	63	24	32	7	69	19	3	8	8	82	13	37	31	15	10	85	57	91	94	97	53	55	46	9	49	92	13	32	15	40	59	23	5	96	53	70	80	39	24	19	67	60	99	87	97	63	34	59	23	47	93	38	26	48	59	3	8	99	31	93	1	79	100	53	49	83	41	16	76	63	68	37	98	
